,Ticker,Company,Market Cap,Sector,Industry,Country,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,Dividend,Payout Ratio,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,EPS Q/Q,Sales Q/Q,Insider Own,Insider Trans,Inst Own,Inst Trans,Short Ratio,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility M,SMA20,SMA50,SMA200,52W High,52W Low,RSI,Scale (billion $),Labor Cost (billion $),Operating Leverage (DOL),C-Suite Diversity,Technological Enabler,ESG Score,Earnings,Price,Target Price
2524,EXPD,"Expeditors International of Washington, Inc.",17.34B,Industrials,Integrated Freight & Logistics,USA,17.35,-,1.05,4.84,10.03,23.6,1.15%,13.90%,102.90%,-18.59%,28.50%,-,22.10%,130.10%,81.00%,0.20%,-9.51%,95.60%,0.20%,2.18,21.70%,44.00%,40.20%,1.8,1.8,0,0,27.00%,11.60%,8.60%,0.94%,-23.19%,-12.15%,-8.62%,-25.19%,2.83%,-4.77%,-7.60%,-18.67%,-28.98%,0.50%,35.64,17.34,4.62,2.4,24,Industry 3.0,58.4,Feb 22/b,97.86,111.43
2527,EXPO,"Exponent, Inc.",5.49B,Industrials,Consulting Services,USA,52.53,3.71,11.77,13.33,-,73.57,0.76%,41.60%,22.60%,11.67%,16.80%,15.00%,8.20%,-6.90%,10.00%,1.10%,-1.22%,91.70%,-0.60%,3.44,16.10%,25.50%,20.20%,3,3,0,0,93.30%,23.40%,21.70%,8.43%,-9.73%,-7.40%,5.58%,-9.55%,2.54%,6.55%,13.41%,1.01%,-15.59%,29.02%,68.63,5.49,1.43,4.0,28,Industry 4.0,57.01,Feb 03/a,107.71,125
2545,FA,First Advantage Corporation,3.09B,Industrials,Specialty Business Services,USA,17.31,7.52,4.34,2.69,10.53,21.86,-,0.00%,120.20%,12.18%,-37.00%,25.40%,-1.70%,118.00%,-58.30%,3.30%,-76.44%,92.70%,-1.29%,2.83,0.90%,1.60%,2.40%,4.3,4.3,0.49,0.49,50.60%,7.00%,2.30%,27.76%,6.80%,-0.78%,-,6.36%,4.34%,11.21%,16.98%,4.40%,-18.84%,35.98%,67.9,3.09,0.78,1.5,21,Industry 4.0,55.67,Mar 23/b,20.07,27.14
2561,FAST,Fastenal Company,34.46B,Industrials,Industrial Distribution,USA,30.74,5.93,5.73,11.37,145.91,-,1.86%,69.60%,7.40%,8.54%,13.20%,6.33%,8.70%,17.60%,12.80%,0.10%,-6.03%,79.10%,-0.25%,3.45,22.10%,31.70%,27.20%,4.2,2,0.11,0.13,46.20%,20.30%,15.40%,11.45%,-2.95%,17.25%,17.32%,-6.10%,2.08%,5.47%,9.63%,7.16%,-6.94%,24.05%,74.38,34.46,9.47,0.9,22,Industry 3.0,60.23,Apr 13/b,60.25,59.62
2586,FC,Franklin Covey Co.,639.85M,Industrials,Consulting Services,USA,38.99,2.18,2.61,8.1,12.47,14.35,-,0.00%,241.80%,81.36%,15.70%,15.00%,2.30%,517.30%,26.90%,13.00%,0.00%,58.50%,3.86%,2.97,6.10%,18.50%,13.90%,1,1,0.27,0.38,77.70%,3.30%,5.50%,6.00%,-1.37%,14.11%,54.08%,0.67%,3.63%,-0.41%,-0.64%,6.61%,-13.44%,57.90%,47.78,0.64,0.19,2.0,28,Industry 3.0,64.35,Mar 30/a,45.46,65.5
2594,FCEL,"FuelCell Energy, Inc.",2.30B,Industrials,Electrical Equipment & Parts,USA,-,-,26.63,3.82,6.11,-,-,-,25.20%,45.00%,57.30%,15.00%,-8.50%,24.60%,113.40%,0.10%,-1.60%,44.20%,9.31%,2.61,-12.60%,-17.80%,-10.50%,6.8,5.9,0.13,0.14,-17.20%,-,-,15.07%,8.30%,4.33%,-54.80%,20.38%,9.03%,-3.85%,12.05%,-9.48%,-58.73%,78.50%,50.69,2.3,0.58,2.7,16,Industry 3.0,54.86,Mar 10/b,6.06,5.61
2598,FCN,"FTI Consulting, Inc.",5.31B,Industrials,Consulting Services,USA,19.26,3,1.91,3.32,10.74,18.52,-,0.00%,17.20%,18.36%,26.50%,7.87%,8.90%,-31.40%,7.90%,2.10%,-0.73%,-,0.17%,6.82,7.90%,15.60%,13.20%,1.9,1.9,0.19,0.19,31.00%,11.20%,8.50%,4.81%,1.89%,13.80%,8.54%,2.27%,2.23%,4.90%,7.58%,10.86%,-0.20%,21.70%,64.03,5.31,1.25,2.2,23,Industry 3.0,51.65,Feb 24/b,160.04,189.5
2633,FDX,FedEx Corporation,59.09B,Industrials,Integrated Freight & Logistics,USA,9.65,0.62,0.64,2.32,9.74,26.37,1.38%,15.00%,276.30%,9.67%,23.10%,19.33%,10.80%,27.20%,9.90%,5.50%,0.00%,73.80%,-0.40%,1.1,6.20%,20.90%,8.30%,1.4,1.3,0.83,0.84,69.40%,6.20%,5.60%,1.61%,-15.69%,0.06%,-22.75%,-15.72%,3.12%,-3.94%,-6.37%,-14.71%,-33.19%,7.38%,41.49,59.09,15.26,1.2,25,Industry 3.0,56.63,Mar 17/a,213.71,293.33
2638,FELE,"Franklin Electric Co., Inc.",3.84B,Industrials,Specialty Industrial Machinery,USA,20.89,1.91,2.31,4.08,94.81,57.92,0.94%,21.30%,52.30%,9.03%,13.60%,13.40%,11.80%,49.50%,34.70%,0.70%,-10.63%,81.00%,-2.01%,4.32,10.30%,16.80%,13.60%,1.8,0.7,0.1,0.2,34.70%,11.40%,9.20%,0.29%,-10.74%,2.10%,1.74%,-11.97%,2.16%,-0.43%,-1.36%,-2.77%,-14.22%,8.42%,46.46,3.84,0.9,3.2,21,Industry 4.0,51.16,Feb 15/b,83.16,98
2696,FIX,"Comfort Systems USA, Inc.",3.19B,Industrials,Engineering & Construction,USA,16.13,2.28,1.04,4.03,54.23,22.7,0.58%,12.10%,-3.80%,17.40%,18.00%,10.00%,13.50%,-11.60%,22.50%,1.80%,-18.60%,98.50%,0.77%,4.06,7.50%,18.80%,11.90%,1.2,1.2,0.48,0.48,18.30%,6.10%,4.70%,5.65%,-8.47%,19.29%,16.94%,-9.24%,2.71%,-0.73%,1.78%,5.23%,-13.49%,32.15%,50.5,3.19,0.7,1.2,29,Industry 4.0,48.26,Feb 23/a,89.75,99
2743,FLOW,"SPX FLOW, Inc.",3.63B,Industrials,Specialty Industrial Machinery,USA,19.88,1.36,2.38,3.5,11.58,136.6,0.42%,17.00%,56.80%,18.40%,16.80%,40.60%,-5.20%,-37.40%,-0.50%,0.50%,0.00%,97.70%,-0.48%,3.98,3.20%,6.50%,4.50%,1.7,1.2,0.36,0.39,35.00%,7.80%,4.40%,1.06%,-0.01%,17.45%,32.94%,0.01%,0.28%,0.42%,0.73%,8.00%,-2.33%,41.97%,62.13,3.63,0.88,2.6,29,Industry 3.0,53.09,-,86.49,86.33
2747,FLR,Fluor Corporation,4.04B,Industrials,Engineering & Construction,USA,17.06,-,0.33,2.97,1.73,-,-,-,-159.20%,32.79%,-22.30%,28.70%,-8.20%,-58.10%,-3.40%,1.00%,-0.05%,90.70%,2.46%,6.72,-6.30%,-33.90%,-5.60%,1.4,1.4,0.84,0.84,3.30%,-1.00%,-3.70%,24.95%,16.83%,81.65%,29.76%,18.29%,4.45%,-0.15%,17.43%,40.38%,-6.21%,100.21%,58.4,4.04,1.11,3.5,18,Industry 3.0,60.01,Feb 22/b,28.85,26.25
2749,FLS,Flowserve Corporation,4.64B,Industrials,Specialty Industrial Machinery,USA,16,2.55,1.31,2.59,7.04,51.2,2.23%,103.40%,-3.30%,25.98%,-1.00%,14.59%,-2.40%,-70.10%,-6.70%,0.30%,0.00%,96.10%,-1.22%,2.19,2.50%,7.20%,7.30%,2.1,1.5,0.7,0.72,30.10%,6.30%,3.60%,18.02%,15.51%,1.30%,-10.74%,17.09%,3.15%,4.20%,8.45%,1.69%,-19.33%,27.21%,65.17,4.64,1.03,0.5,31,Industry 4.0,48.48,Feb 23/a,35.81,37.08
2754,FLUX,"Flux Power Holdings, Inc.",47.05M,Industrials,Electrical Equipment & Parts,USA,-,-,1.61,2.35,5.96,-,-,-,61.30%,37.10%,18.70%,-,116.00%,-9.80%,18.50%,0.70%,9.05%,34.50%,-1.22%,3.09,-46.90%,-87.30%,-103.70%,2.1,0.9,0,0.18,19.90%,-54.00%,-50.10%,38.57%,-33.41%,-39.63%,-78.17%,-32.17%,8.24%,15.36%,4.25%,-51.07%,-79.33%,42.50%,58.55,0.05,0.01,0.9,30,Industry 3.0,54.16,Feb 10/a,2.85,10.75
2820,FORR,"Forrester Research, Inc.",1.08B,Industrials,Consulting Services,USA,21.78,2.8,2.18,5.38,8.03,11.19,-,0.00%,143.30%,14.57%,5.80%,16.00%,8.70%,226.40%,11.00%,34.10%,-0.29%,56.00%,-1.64%,2.63,3.70%,12.40%,10.90%,0.9,0.9,0.37,0.37,59.20%,7.80%,5.00%,8.90%,-2.65%,17.87%,33.85%,-2.30%,2.38%,9.53%,10.41%,13.41%,-3.42%,48.39%,72.75,1.08,0.28,2.9,17,Industry 4.0,56.74,Feb 10/a,58.82,67.5
2832,FPAY,"FlexShopper, Inc.",35.78M,Industrials,Rental & Leasing Services,USA,3.24,-,0.29,-,11.54,-,-,0.00%,-58.00%,0.00%,38.10%,-,37.60%,403.90%,25.60%,0.30%,-,23.50%,-7.00%,1.79,0.30%,-1.90%,12.30%,4.6,4.6,-,-,36.80%,8.10%,0.20%,5.30%,-33.19%,-44.21%,-39.54%,-32.34%,7.31%,-2.71%,-3.48%,-32.64%,-57.98%,13.83%,45.87,0.04,0.01,3.0,25,Industry 3.0,51.0,Mar 30/a,1.61,4.83
2854,FREY,FREYR Battery,1.52B,Industrials,Electrical Equipment & Parts,Luxembourg,-,-,-,2.83,2.69,-,-,-,-,7.90%,-,-,-,-190.40%,-,26.84%,0.00%,53.20%,3.28%,2.34,-28.80%,-33.50%,-,22.6,22.6,0,0,-,-,-,56.41%,11.33%,38.92%,30.78%,17.80%,6.32%,20.34%,31.35%,27.18%,-12.25%,64.84%,68.73,1.52,0.39,3.5,20,Industry 4.0,56.26,Feb 28/b,12.61,17.4
2887,FSS,Federal Signal Corporation,2.05B,Industrials,Pollution & Treatment Controls,USA,14.4,1.3,1.69,2.63,50.67,48.4,1.06%,21.80%,4.30%,24.23%,20.30%,16.00%,11.40%,-24.90%,2.20%,1.80%,0.26%,94.90%,-1.48%,2.87,7.70%,13.30%,9.70%,2.5,1.2,0.36,0.36,23.80%,9.90%,8.30%,-2.73%,-21.57%,-16.10%,-14.47%,-21.83%,2.43%,-2.13%,-6.75%,-16.34%,-31.59%,1.18%,39.38,2.05,0.4,1.3,23,Industry 3.0,42.47,Mar 01/b,33.44,45.33
2892,FSTR,L.B. Foster Company,169.18M,Industrials,Railroads,USA,15.83,4.62,0.33,0.88,16.27,-,-,0.00%,-86.30%,32.41%,15.10%,10.00%,1.20%,-114.80%,-2.20%,2.70%,0.00%,65.30%,1.74%,2.27,1.00%,2.00%,1.60%,2.1,1.4,0.17,0.17,16.80%,0.90%,0.70%,-1.11%,6.74%,-1.49%,-15.98%,10.55%,4.17%,-3.77%,-2.85%,-6.85%,-23.26%,17.88%,43.94,0.17,0.03,3.6,16,Industry 3.0,42.9,Mar 01/b,14.88,19.25
2900,FTAI,Fortress Transportation and Infrastructure Investors LLC,2.47B,Industrials,Rental & Leasing Services,USA,14.76,-,5.42,2.24,13.14,-,5.21%,-,-16.00%,149.78%,-40.20%,-,25.10%,72.70%,92.90%,0.50%,0.00%,77.30%,2.45%,11.45,-3.10%,-11.50%,-3.60%,-,-,2.78,2.86,96.40%,-34.80%,-28.30%,14.67%,-8.53%,-2.91%,-8.79%,-12.45%,4.66%,1.54%,-2.43%,-7.54%,-28.64%,18.78%,49.24,2.47,0.62,1.9,33,Industry 3.0,54.86,Apr 28/a,24.83,37.6
2909,FTEK,"Fuel Tech, Inc.",46.11M,Industrials,Pollution & Treatment Controls,USA,-,40.22,1.9,0.95,1.28,65.87,-,0.00%,101.10%,-200.00%,14.90%,12.10%,-15.10%,87.00%,4.80%,22.42%,0.00%,18.90%,12.01%,5.07,0.10%,0.10%,0.10%,12.9,12.8,0,0,49.00%,0.40%,0.20%,18.70%,1.39%,-14.62%,-50.34%,4.29%,6.04%,2.36%,12.05%,-14.68%,-55.59%,37.50%,55.79,0.05,0.01,3.7,25,Industry 4.0,48.9,Mar 08/a,1.43,4
2958,FWRD,Forward Air Corporation,2.60B,Industrials,Integrated Freight & Logistics,USA,14.38,1.65,1.56,4.2,69.72,44.68,0.91%,21.60%,123.50%,13.88%,36.20%,13.16%,11.10%,156.50%,31.30%,0.60%,-1.91%,-,-0.19%,3.67,9.80%,18.70%,15.70%,1.7,1.7,0.28,0.29,44.10%,9.60%,6.30%,-10.11%,-23.41%,10.03%,3.89%,-23.68%,3.91%,-11.42%,-13.09%,-9.18%,-29.23%,10.43%,29.6,2.6,0.64,3.8,33,Industry 3.0,53.73,Feb 09/a,88.96,137.6
3002,GATX,GATX Corporation,4.34B,Industrials,Rental & Leasing Services,USA,19.34,2.52,3.45,2.11,12.6,-,1.66%,49.40%,-6.30%,9.03%,-8.80%,12.00%,-2.40%,237.00%,5.30%,1.50%,-22.69%,-,-0.88%,15.32,1.50%,7.20%,3.10%,-,-,2.92,2.93,75.00%,23.60%,11.40%,5.28%,15.96%,30.23%,26.75%,15.64%,2.39%,-2.46%,6.39%,20.17%,-6.58%,41.05%,50.18,4.34,1.26,1.9,33,Industry 4.0,63.71,Jan 25/b,119.19,124.2
3021,GBX,"The Greenbrier Companies, Inc.",1.63B,Industrials,Railroads,USA,13.7,14.48,0.86,1.3,3.97,-,2.18%,65.80%,-108.40%,60.75%,-15.10%,7.00%,-8.20%,205.60%,36.70%,3.90%,0.00%,99.69%,0.97%,7.58,1.60%,4.20%,1.50%,-,-,0.72,1.14,12.60%,2.60%,2.80%,2.53%,7.15%,12.30%,7.57%,7.82%,3.14%,-6.70%,4.08%,8.61%,-10.71%,31.89%,42.57,1.63,0.44,2.0,21,Industry 4.0,58.82,Apr 06/b,47.73,55.6
3030,GD,General Dynamics Corporation,66.17B,Industrials,Aerospace & Defense,USA,17.08,1.89,1.72,3.77,41.28,32.3,2.11%,40.20%,5.00%,15.50%,6.00%,10.95%,4.70%,-2.70%,-1.80%,0.60%,-0.27%,86.50%,-0.66%,1.5,6.40%,20.30%,12.00%,1.4,1,0.61,0.67,16.70%,10.80%,8.50%,-2.47%,15.31%,21.12%,29.24%,14.76%,2.45%,1.41%,6.52%,16.84%,-5.58%,33.10%,57.22,66.17,16.05,0.6,23,Industry 3.0,53.19,Jan 26/b,240.75,266.73
3045,GE,General Electric Company,100.30B,Industrials,Specialty Industrial Machinery,USA,17.37,-,1.35,2.51,3.57,66.55,0.35%,-,-159.20%,63.79%,-19.90%,47.40%,-9.10%,-257.10%,-3.00%,0.24%,0.08%,68.30%,-4.61%,1.61,-2.90%,-18.70%,-5.80%,1.3,1,0.76,0.87,25.40%,-6.20%,-9.10%,3.23%,-4.38%,-12.28%,-14.16%,-2.59%,2.45%,-2.38%,-3.67%,-9.18%,-21.74%,6.58%,42.73,100.3,23.01,0.6,25,Industry 3.0,50.3,Apr 26/b,90.9,112.24
3053,GENC,"Gencor Industries, Inc.",151.26M,Industrials,Farm & Heavy Construction Machinery,USA,-,-,1.75,0.89,1.29,-,-,0.00%,4.90%,-,-4.10%,-,4.00%,-117.80%,5.80%,15.70%,0.00%,50.40%,-1.38%,3.35,2.20%,2.40%,-0.10%,10.8,7.9,0,0,21.90%,0.80%,4.60%,-0.97%,-13.54%,-7.43%,-21.20%,-11.36%,1.91%,-1.36%,-3.08%,-9.70%,-24.78%,1.69%,41.9,0.15,0.03,0.6,17,Industry 4.0,46.76,-,10.23,19
3066,GFAI,"Guardforce AI Co., Limited",34.13M,Industrials,Security & Protection Services,Taiwan,-,-,0.91,-,-,-,-,-,-,-,-,-,-,-,-1.70%,71.54%,0.00%,10.33%,-,0.48,-,-,-,-,-,-,-,-,-,-,214.15%,38.79%,-54.13%,-,49.07%,27.14%,60.02%,116.28%,4.16%,-76.73%,490.19%,71.44,0.03,0.01,0.7,28,Industry 3.0,53.46,-,1.78,2
3068,GFF,Griffon Corporation,1.12B,Industrials,Tools & Accessories,USA,7.57,0.89,0.5,1.26,7.39,-,1.81%,24.40%,41.60%,28.36%,24.40%,20.41%,9.00%,-34.20%,9.30%,7.60%,0.44%,76.10%,0.92%,1.76,2.70%,8.70%,7.10%,2.6,1.6,1.28,1.3,28.30%,6.80%,3.10%,-14.65%,-28.69%,-19.51%,-28.44%,-30.02%,3.48%,-8.86%,-11.45%,-20.19%,-33.38%,-0.15%,31.75,1.12,0.27,3.0,32,Industry 3.0,52.02,Feb 01/b,19.6,36.6
3071,GFL,GFL Environmental Inc.,12.99B,Industrials,Waste Management,Canada,37.72,-,2.35,1.98,68.22,55.79,0.13%,-,45.10%,80.39%,-29.20%,-,42.70%,73.20%,24.60%,6.78%,0.00%,73.89%,-,3.58,-3.60%,-11.00%,1.40%,1,1,1.42,1.43,9.50%,1.60%,-11.00%,12.27%,-16.39%,-14.49%,-10.47%,-16.59%,3.97%,2.69%,2.60%,-10.32%,-28.60%,20.46%,53.06,12.99,2.77,2.5,15,Industry 4.0,46.76,Feb 09/a,31.21,43.43
3076,GGG,Graco Inc.,11.82B,Industrials,Specialty Industrial Machinery,USA,24.03,2.7,5.95,7.05,18.94,60.25,1.19%,28.90%,31.20%,8.59%,60.30%,10.40%,8.40%,3.80%,14.70%,0.40%,-5.27%,88.20%,0.42%,2.91,19.30%,28.70%,24.30%,2.7,1.9,0.04,0.11,52.00%,26.70%,22.10%,0.27%,-9.98%,1.77%,-3.36%,-12.14%,2.11%,1.51%,-0.19%,-5.47%,-12.74%,6.55%,51.43,11.82,2.95,3.7,30,Industry 4.0,54.7,Jan 31/a,70.76,81.57
3088,GHM,Graham Corporation,81.88M,Industrials,Specialty Industrial Machinery,USA,147.4,-,0.75,0.8,5.85,-,5.97%,-,25.80%,209.50%,-17.20%,18.00%,1.60%,-430.00%,5.90%,5.00%,5.25%,72.70%,6.32%,0.7,-3.90%,-7.00%,2.30%,1.5,1.2,0.17,0.3,9.10%,-8.00%,-6.40%,-9.57%,-43.87%,-41.83%,-50.20%,-40.76%,4.37%,-4.84%,-17.98%,-38.30%,-52.73%,1.94%,33.72,0.08,0.02,1.2,30,Industry 3.0,53.46,Feb 07/a,7.35,19.33
3096,GIC,Global Industrial Company,1.20B,Industrials,Industrial Distribution,USA,13.88,0.96,1.13,7.89,78.15,-,2.27%,23.50%,8.50%,15.95%,77.50%,18.00%,7.10%,21.80%,-4.30%,3.80%,395.08%,31.10%,-0.01%,3.41,25.40%,73.90%,44.60%,1.7,0.7,0,0.03,35.20%,8.30%,9.70%,-4.88%,-21.65%,-16.41%,-25.83%,-22.30%,3.22%,-3.83%,-3.62%,-14.52%,-29.84%,11.04%,41.18,1.2,0.28,0.8,15,Industry 3.0,50.51,-,31.48,51
3118,GLBS,Globus Maritime Limited,49.07M,Industrials,Marine Shipping,Greece,8.07,-,1.71,0.33,0.77,7.91,-,-,97.90%,-46.00%,-41.44%,-,-1.60%,100.30%,300.00%,0.92%,0.00%,13.10%,85.83%,4.51,1.40%,1.90%,-14.40%,6.9,6.8,0.21,0.25,53.80%,20.40%,6.50%,4.81%,-3.54%,-22.97%,-51.77%,3.81%,7.92%,-8.71%,-1.43%,-22.91%,-64.68%,32.01%,42.78,0.05,0.01,1.1,23,Industry 3.0,62.04,-,2.07,6.25
3122,GLDD,Great Lakes Dredge & Dock Corporation,919.99M,Industrials,Engineering & Construction,USA,13.67,-,1.27,2.35,6.32,-,-,0.00%,-25.70%,19.70%,142.30%,-13.00%,2.60%,130.90%,22.00%,2.20%,-0.88%,94.50%,-0.61%,6.39,5.10%,13.30%,9.60%,2.1,1.9,0.8,0.8,20.00%,11.30%,6.80%,-2.59%,-11.08%,-2.19%,-5.55%,-9.10%,2.45%,-1.03%,1.50%,-2.59%,-11.43%,8.91%,49.98,0.92,0.22,3.1,21,Industry 4.0,52.34,Feb 16/b,14.42,17.52
3127,GLG,"TD Holdings, Inc.",61.29M,Industrials,Rental & Leasing Services,China,-,-,6.01,0.22,-,7.66,-,-,81.30%,-,60.30%,-,49.70%,82.80%,28.00%,27.32%,0.00%,0.20%,32.06%,0.13,-0.40%,-0.60%,-97.20%,-,-,0,0,-,-,-9.20%,43.76%,-25.11%,-52.51%,-82.42%,-22.91%,16.02%,34.90%,40.38%,-36.91%,-82.67%,110.00%,66.94,0.06,0.01,3.7,26,Industry 3.0,50.46,-,0.36,-
3164,GMS,GMS Inc.,2.11B,Industrials,Building Products & Equipment,USA,7.23,0.39,0.49,2.14,24.25,107.08,-,0.00%,344.10%,-5.26%,45.10%,24.60%,12.20%,275.60%,53.60%,0.10%,374.02%,99.30%,-1.47%,3.12,8.30%,25.30%,8.90%,2.4,1.4,1.28,1.32,32.00%,8.40%,5.40%,2.38%,-16.84%,10.81%,19.42%,-17.12%,4.14%,-7.19%,-7.05%,-6.03%,-22.11%,20.23%,40.09,2.11,0.6,1.3,31,Industry 3.0,62.1,Mar 03/b,48.13,66
3172,GNK,Genco Shipping & Trading Limited,927.52M,Industrials,Marine Shipping,USA,4.81,-,1.7,1.02,8.09,4.27,2.70%,7.40%,179.40%,1.23%,16.50%,-,32.20%,235.30%,91.90%,1.10%,-15.19%,77.30%,5.57%,1.43,15.40%,22.30%,17.00%,4.2,3.6,0.26,0.26,51.60%,36.00%,33.30%,7.77%,34.95%,17.34%,112.44%,38.75%,5.37%,1.89%,14.42%,24.46%,-9.17%,125.25%,55.06,0.93,0.33,3.1,35,Industry 4.0,78.83,Feb 24/b,22.21,27.21
3180,GNRC,Generac Holdings Inc.,19.87B,Industrials,Specialty Industrial Machinery,USA,23.06,4.6,5.32,8.98,134.89,65.97,-,0.00%,55.80%,17.85%,41.50%,8.00%,20.90%,13.90%,40.20%,1.50%,-7.92%,90.00%,1.28%,2.32,13.70%,30.70%,18.30%,1.6,0.7,0.41,0.44,36.40%,19.30%,14.70%,-0.65%,-9.34%,-21.55%,-5.46%,-10.37%,4.86%,4.45%,7.98%,-15.95%,-38.77%,27.52%,55.39,19.87,4.37,0.9,21,Industry 4.0,48.21,Feb 16/b,321.04,459.78
3196,GOGL,Golden Ocean Group Limited,2.32B,Industrials,Marine Shipping,Bermuda,6.91,-,1.93,1.24,11.67,16.9,20.99%,60.70%,384.30%,-11.59%,32.20%,-,36.20%,470.10%,126.30%,5.60%,0.00%,27.20%,-19.75%,0.7,15.70%,28.70%,15.50%,1.5,1.3,0.65,0.72,61.60%,42.70%,43.80%,3.75%,21.53%,13.75%,72.86%,28.06%,4.40%,-2.41%,3.20%,15.14%,-10.66%,76.66%,47.58,2.32,0.82,4.0,17,Industry 4.0,77.76,Feb 16/b,11.7,14.68
3198,GOL,Gol Linhas Aereas Inteligentes S.A.,1.12B,Industrials,Airlines,Brazil,13.93,-,0.71,-,6.81,13.6,-,-,-13.70%,82.20%,-57.80%,-,-5.50%,-,54.50%,64.00%,0.00%,12.50%,-0.33%,4,-56.80%,40.20%,-226.30%,0.2,0.2,-,-,-15.60%,-51.60%,-97.10%,31.75%,29.98%,1.44%,-3.84%,28.26%,6.20%,16.89%,13.01%,6.31%,-35.13%,55.13%,60.43,1.12,0.33,2.4,26,Industry 3.0,64.08,Mar 14/b,7.41,8.13
3218,GPN,Global Payments Inc.,38.74B,Industrials,Specialty Business Services,USA,12.6,2.35,4.55,1.58,19.57,19.11,0.71%,27.00%,69.00%,17.23%,32.30%,18.18%,31.10%,18.90%,13.70%,0.40%,-0.27%,87.20%,-4.29%,1.34,2.10%,3.70%,3.20%,1.1,1.1,0.45,0.47,55.70%,15.90%,11.30%,9.74%,-0.85%,-10.06%,-32.54%,3.94%,2.42%,4.75%,1.59%,-8.03%,-36.67%,19.79%,57.36,38.74,10.28,3.7,23,Industry 4.0,58.18,Feb 10/b,139.85,187.64
3230,GRC,The Gorman-Rupp Company,929.19M,Industrials,Specialty Industrial Machinery,USA,19.8,2.11,2.46,2.87,7.42,48.9,1.88%,55.60%,18.40%,18.83%,3.70%,15.00%,-0.20%,-4.00%,14.20%,0.70%,0.00%,59.10%,-0.35%,4.86,7.20%,9.20%,9.00%,5.3,3.7,0,0,25.30%,10.40%,7.90%,-6.09%,-17.47%,-1.74%,8.02%,-18.65%,2.66%,-2.84%,-5.18%,-7.81%,-24.09%,10.23%,40.74,0.93,0.18,1.3,21,Industry 3.0,42.42,-,35.77,46
3239,GRIN,Grindrod Shipping Holdings Ltd.,462.48M,Industrials,Marine Shipping,Singapore,5.25,-,1.01,1.6,4.32,-,11.13%,11.80%,398.30%,-13.06%,36.00%,-,4.20%,289.70%,-20.20%,22.70%,0.00%,11.70%,-35.47%,0.44,19.20%,45.00%,22.20%,1.6,1.5,0.7,0.87,38.80%,29.10%,26.10%,1.61%,42.98%,74.75%,250.68%,43.54%,8.16%,0.43%,10.41%,48.51%,-15.87%,256.88%,50.96,0.46,0.16,2.5,25,Industry 3.0,75.61,Mar 01/b,23.95,27.5
3244,GRNQ,Greenpro Capital Corp.,35.27M,Industrials,Conglomerates,Malaysia,-,-,13.56,1.97,6.65,-,-,-,-,-,-,-,-0.90%,-,100.00%,13.50%,-3.54%,2.80%,125.36%,2.23,-,-,-,1.9,1.9,0,0,74.90%,-,-,14.46%,-27.57%,-27.84%,-76.96%,-26.70%,10.62%,5.28%,5.60%,-33.92%,-81.22%,43.58%,51.66,0.04,0.01,3.4,23,Industry 4.0,49.77,-,0.45,-
3273,GSL,"Global Ship Lease, Inc.",961.75M,Industrials,Marine Shipping,United Kingdom,3.1,0.49,2.15,1.35,12.79,4,3.78%,16.30%,117.20%,9.63%,19.80%,12.00%,21.80%,188.80%,119.30%,79.00%,0.00%,47.70%,-4.38%,1.35,9.80%,26.00%,13.30%,0.6,0.5,1.24,1.5,68.00%,53.00%,36.40%,-5.06%,13.75%,25.08%,84.92%,15.58%,5.11%,-9.56%,-4.85%,12.35%,-14.18%,105.79%,38.82,0.96,0.33,1.1,23,Industry 4.0,75.24,Mar 02/b,25.77,31
3288,GTEC,Greenland Technologies Holding Corporation,54.27M,Industrials,Specialty Industrial Machinery,China,6.84,-,0.55,0.91,5.71,-,-,0.00%,19.60%,20.69%,-,-,-,335.80%,40.00%,60.62%,0.00%,1.00%,167.85%,2.06,6.90%,19.20%,3.90%,1.5,1.3,0,0.87,19.80%,11.40%,10.30%,-5.15%,-28.61%,-20.96%,-58.88%,-25.51%,8.87%,-9.45%,-9.16%,-25.99%,-63.10%,12.86%,39.2,0.05,0.01,1.9,18,Industry 4.0,57.38,Mar 28/b,4.65,14
3290,GTES,Gates Industrial Corporation plc,4.09B,Industrials,Specialty Industrial Machinery,USA,9.73,0.48,1.18,1.34,6.21,13.42,-,0.00%,266.30%,15.02%,44.30%,29.99%,4.80%,154.30%,2.70%,0.30%,-97.95%,-,-0.15%,1.88,4.00%,9.90%,8.20%,2.7,1.9,0.82,0.83,38.60%,13.90%,8.60%,-6.44%,-11.88%,-15.09%,-14.11%,-10.50%,3.09%,-11.30%,-11.17%,-16.54%,-27.59%,-3.42%,31.29,4.09,1.08,0.5,23,Industry 4.0,57.81,Feb 07/b,13.72,19.27
